name,description,lead source,c_name_dba_c,c_name_generic_c,c_listing_address_c,c_listing_city_c,c_listing_postal_c,c_listing_downpayment_c,c_listing_askingprice_c,c_listing_terms_c,c_listing_reasonforselling_c,c_listing_support_training_c,c_listing_featured_c,c_listing_relocatable_c,c_listing_franchise_c,c_financial_grossrevenue_c,c_financial_rent_c,c_listing_hours_c,c_listing_yearsest_c,c_listing_frontend_id_c,c_financial_leasedequip_c,Assigned_Broker,NAICDescription,DateAgreement Signed,Date Agreement Expires,LicenseRequired:,Days Open:,HoursOpen:,Employees:,Employees:,Status,c_listing_featured_c,Management will Stay:,State | Province,Main Business Phone:,Building Size:,Real State Estd,Real Estate Included,Real Estate Available,Real Estate Price,Real Estate Asking:,Remarks,Web City:,FF & E Asking,FF & E Included,Inventory Price Included,Inventory Price,c_financial_grossrevenue_c,Annual Cash Flow:,Liens Total,Year Acquired:,Date Modified:,Date Entered:,Assigned To Name,Monthly Payroll:,Building Size Type:,Is property leased?,seller,listing broker,currency
Music Vision Inc.,"For approximately 23 years this retail music store has been providing music and equipment for music lovers and musicians.  Store retails audio CDs and DVDs, as well as books and accessories for equipment such as band instruments, guitars, drums, and keyboards.  Store also sells car audio equipment and performs installation, car alarm sales and service, and window tinting.  Business services several automobile dealerships in its area as well as surrounding parishes.  Store is well known in its community as an audio renaissance shop covering music for the car and home.  Store provides a great retail experience with listening stations for the musical equipment on display to test before purchase.  Store is approximately 5600 sq ft and real estate is included in the sale.  The real estate also includes an adjoining lot which can be used for expansion, diversification, strip mall, etc.  Seller will sell the business by itself at a much lower price with a very reasonable lease purchase option! 	Business is found on a very high traffic 4 lane highway in a highly visible and easily accessible location.  Business presents well from the road and has good signage.  There is plenty of parking for the numerous customers who frequent this business.  Business is in the large, affluent section of the Lafayette Metro area in Louisiana.  Area has great access to big city life, recreational outdoor activities, good schools, and affordable housing. 	Seller is ready for retirement and is motivated to sell their retail music store.  Seller will train the new owner on this very easy to own and operate business.  Seller is open to substantive offers and will seriously consider and promptly respond to all reasonable offers.  This is a dream opportunity for music lovers of all kinds!  Come see this successful music store, meet the owner, make offer.",,Music Vision,Retail Music Store,617 Jefferson Terrace,New Iberia,70560,0,1300000,,Retirement,Yes,1,Yes,Yes,500000,0,10 am - 7 pm (Mon - Fri) 10 am - 5 pm (Sat),,LAFAYETLA1-N10,,"Don Pippin, Jr.","Sporting Goods, Hobby, Book, and Music Stores",9/10/2010 0:00,3/31/2011 0:00,,Mon - Sat,10 am - 7 pm (Mon - Fri) 10 am - 5 pm (Sat),4,2,Active,2,1,LA,337-364-6726,5600,1987,2,2,0,0,"	For approximately 23 years this retail music store has been providing music and equipment for music lovers and musicians.  Store retails audio CDs and DVDs, as well as books and accessories for equipment such as band instruments, guitars, drums, and keyboards.  Store also sells car audio equipment and performs installation, car alarm sales and service, and window tinting.  Business services several automobile dealerships in its area as well as surrounding parishes.  Store is well known in its community as an audio renaissance shop covering music for the car and home.  Store provides a great retail experience with listening stations for the musical equipment on display to test before purchase.  Store is approximately 5600 sq ft and real estate is included in the sale.  The real estate also includes an adjoining lot which can be used for expansion, diversification, strip mall, etc.  Seller will sell the business by itself at a much lower price with a very reasonable lease purchase option!
	Business is found on a very high traffic 4 lane highway in a highly visible and easily accessible location.  Business presents well from the road and has good signage.  There is plenty of parking for the numerous customers who frequent this business.  Business is in the large, affluent section of the Lafayette Metro area in Louisiana.  Area has great access to big city life, recreational outdoor activities, good schools, and affordable housing.
	Seller is ready for retirement and is motivated to sell their retail music store.  Seller will train the new owner on this very easy to own and operate business.  Seller is open to substantive offers and will seriously consider and promptly respond to all reasonable offers.  This is a dream opportunity for music lovers of all kinds!  Come see this successful music store, meet the owner, make offer.
",Lafayette Metro,75000,2,2,0,500000,100000,0,1999,6/20/2016 21:29,6/20/2016 21:29,"Don Pippin, Jr.",7000,sq ft,1,,,
Clothes Mentor,"This franchise clothing retail resale business for sale has been in operation for over 6 years in Lafayette, Louisiana. Business specializes in the buying and selling of gently used clothing from good brands, styles, and accessories including hand bags, purses, and more.  Business is one of the 100 fast growing franchises in the county. This business has been priced to sell fast and it won&acirc;&euro;&trade;t last long. 	Owner has decided to sell because of relocation out of the area. Seller and franchisor will help train new owner on this easy to own and operate business. Owner will consider some seller financing for a qualified buyer with a reasonable down payment. Contact us today for more information on this franchise clothing retail resale business for sale. Come see the great store, be impressed with the knowledgeable staff and great inventory, make offer!",,Clothes Mentor,"Franchise Clothing Resale Business For Sale in Lafayette, LA",110 Tucker Dr. Ste. 104,Lafayette,,0,159000,,Moving Out of State,Yes,1,Yes,Yes,452060,5405,,,LAFAYETLA1-N11,,"Don Pippin, Jr.",Retail Trade,9/28/2015 0:00,9/28/2016 0:00,, 6 Days,,15,,Active,2,1,LA,337-981-0066,,2009,1,1,0,0,"This franchise clothing retail resale business for sale has been in operation for over 6 years in Lafayette, Louisiana. Business specializes in the buying and selling of gently used clothing from good brands, styles, and accessories including hand bags, purses, and more.  Business is one of the 100 fast growing franchises in the county. This business has been priced to sell fast and it won’t last long.
	Owner has decided to sell because of relocation out of the area. Seller and franchisor will help train new owner on this easy to own and operate business. Owner will consider some seller financing for a qualified buyer with a reasonable down payment. Contact us today for more information on this franchise clothing retail resale business for sale. Come see the great store, be impressed with the knowledgeable staff and great inventory, make offer!
",Lafayette,60000,2,2,47678,452060,45000,0,2009,6/20/2016 21:30,6/20/2016 21:30,"Don Pippin, Jr.",0,sq ft,2,,,
Main Street Pizza,"This restaurant business for sale in metro Lafayette, Louisiana is a popular destination for locals and tourists alike. Business occupies over 3,400sqft with an addition that could add more covered space. Restaurant has a nice bar area, game room, and a separate room wired for video poker if new owner chooses to add it. Business serves beer and wine but could add liquor sales if desired. Restaurant has killer recipes and is the only restaurant in the area open all day. A delivery service could be added to increase revenue and profit. Last year business did approximately $250K in revenue and turned a cash flow of approximately $70K! The metro Lafayette, Louisiana region is a great place to live, work, and raise a family. The economy is booming as Lafayette is the epicenter of the booming oil and gas industry in south Louisiana. The area has plenty of affordable housing. Lafayette is a home to the University of Louisiana Lafayette, a major university with a top notch athletic program. Lafayette is in the heart of Cajun country an area were the residents are exceptionally friendly and love to have a good time. Outdoor recreational activities like hunting, fishing, boating, golfing, hiking, etc. abound. 	Owner had decided to sell due to medical reasons and is highly motivated to sell. Seller will help train new owner on this easy to own and operate business. Seller will consider 50% owner financing for a qualified buyer. Come by and see this great restaurant in action, see the big crowds, see the extra potential, meet the owner, taste the delicious food, make offer!",,Main Street Pizza,"Restaurant Business For Sale in Metro Lafayette, La",719 South Main St,Breaux Bridge,,0,245000,,Medical,Yes,1,Yes,Yes,250000,1000,,,LAFAYETLA1-N12,,"Don Pippin, Jr.",Full-Service Restaurants,9/26/2014 0:00,3/26/2014 0:00,,7 Days,,2,4,Active,2,1,LA,337-332-3232,3400,2010,1,1,0,0,"This restaurant business for sale in metro Lafayette, Louisiana is a popular destination for locals and tourists alike. Business occupies over 3,400sqft with an addition that could add more covered space. Restaurant has a nice bar area, game room, and a separate room wired for video poker if new owner chooses to add it. Business serves beer and wine but could add liquor sales if desired. Restaurant has killer recipes and is the only restaurant in the area open all day. A delivery service could be added to increase revenue and profit. Last year business did approximately $250K in revenue and turned a cash flow of approximately $70K!
The metro Lafayette, Louisiana region is a great place to live, work, and raise a family. The economy is booming as Lafayette is the epicenter of the booming oil and gas industry in south Louisiana. The area has plenty of affordable housing. Lafayette is a home to the University of Louisiana Lafayette, a major university with a top notch athletic program. Lafayette is in the heart of Cajun country an area were the residents are exceptionally friendly and love to have a good time. Outdoor recreational activities like hunting, fishing, boating, golfing, hiking, etc. abound.
	Owner had decided to sell due to medical reasons and is highly motivated to sell. Seller will help train new owner on this easy to own and operate business. Seller will consider 50% owner financing for a qualified buyer. Come by and see this great restaurant in action, see the big crowds, see the extra potential, meet the owner, taste the delicious food, make offer!
",Lafayette Metro,80000,2,2,4000,250000,70000,0,2010,6/20/2016 21:31,6/20/2016 21:31,"Don Pippin, Jr.",1500,sq ft,2,,,
T-Coon's,"This 20 year old restaurant business for sale in Lafayette, Louisiana has been a favorite amongst the locals for many years. Business primarily serves Cajun and south Louisiana specialties considered some of the best around. Restaurant is open 7 days a week with plenty of loyal regulars eating daily. Restaurant has a very affordable lease for approximately 3,900sqft it occupies. Restaurant is located on a very high traffic street.  	Owner has decided to sell to start retirement and is highly motivated to sell the business. Owner will consider some seller financing with a proper down payment from a qualified buyer. Seller will help train new owner on this easy to own and operate business. Contact us today before this great restaurant is gone, meet the owner, taste the great food, make offer!",,T-Coon's,"Restaurant Business For Sale in Lafayette, LA",1900 W. Pinhook Rd,Lafayette,,0,750000,,Retirement,Yes,1,Yes,Yes,1000000,2500,,,LAFAYETLA1-N13,,"Don Pippin, Jr.",Full-Service Restaurants,3/5/2015 0:00,3/4/2016 0:00,Yes,7 Days,,11,13,Active,2,1,LA,337-233-0427,3900,1995,1,1,0,0,"This 20 year old restaurant business for sale in Lafayette, Louisiana has been a favorite amongst the locals for many years. Business primarily serves Cajun and south Louisiana specialties considered some of the best around. Restaurant is open 7 days a week with plenty of loyal regulars eating daily. Restaurant has a very affordable lease for approximately 3,900sqft it occupies. Restaurant is located on a very high traffic street. 
	Owner has decided to sell to start retirement and is highly motivated to sell the business. Owner will consider some seller financing with a proper down payment from a qualified buyer. Seller will help train new owner on this easy to own and operate business. Contact us today before this great restaurant is gone, meet the owner, taste the great food, make offer!
",Lafayette,50000,2,2,5000,1000000,230000,0,,6/20/2016 21:32,6/20/2016 21:32,"Don Pippin, Jr.",17000,sq ft,2,,,
"Southwest Louisiana Math Center, LLC","This franchise supplemental tutoring business for sale has been in operation for over 6 years in Lafayette, Louisiana. Franchise is one of the fastest growing franchises in the country with over 630 locations. Franchise transfer fee is included in the asking price. Business could easily be expanded with greater marketing in the community and amongst local schools. With the demands on schools with the new students testing requirements, the supplemental student tutoring business has boomed. This is a great opportunity to cash in on that boom. Lease has been renewed and in place till January of 2020. The metro Lafayette, Louisiana region is a great place to live, work, and raise a family. The economy is booming as Lafayette is the epicenter of the booming oil and gas industry in south Louisiana. The area has plenty of affordable housing. Lafayette is a home to the University of Louisiana Lafayette, a major university with a top notch athletic program. Lafayette is in the heart of Cajun country an area were the residents are exceptionally friendly and love to have a good time. Outdoor recreational activities like hunting, fishing, boating, golfing, hiking, etc. abound. Owner lives out of the area and doesn&acirc;&euro;&trade;t have time to fully devote to the business and has decided to sell.  Owner will consider some seller financing for a qualified buyer with a reasonable down payment. Seller and franchisor will help train new owner on this easy to own and operate business. Contact us today for more information on this franchise supplemental tutoring business, come see it in action, see the opportunity for you, make offer!",,Mathnasium - River Ranch,"Franchise Supplemental Tutoring Business For Sale in Lafayette, LA",206 Rue Promenade,Lafayette,,0,110000,,Other Interests/ Travel Distance,Yes,1,Yes,No,130000,1693,,,LAFAYETLA1-N14,,"Don Pippin, Jr.",All Other Schools and Instruction,3/24/2015 0:00,6/25/2015 0:00,,5 Days,,1,5,Active,2,1,LA,337-263-1580,1270,2009,1,1,0,0,"	This franchise supplemental tutoring business for sale has been in operation for over 6 years in Lafayette, Louisiana. Franchise is one of the fastest growing franchises in the country with over 630 locations. Franchise transfer fee is included in the asking price. Business could easily be expanded with greater marketing in the community and amongst local schools. With the demands on schools with the new students testing requirements, the supplemental student tutoring business has boomed. This is a great opportunity to cash in on that boom. Lease has been renewed and in place till January of 2020.
The metro Lafayette, Louisiana region is a great place to live, work, and raise a family. The economy is booming as Lafayette is the epicenter of the booming oil and gas industry in south Louisiana. The area has plenty of affordable housing. Lafayette is a home to the University of Louisiana Lafayette, a major university with a top notch athletic program. Lafayette is in the heart of Cajun country an area were the residents are exceptionally friendly and love to have a good time. Outdoor recreational activities like hunting, fishing, boating, golfing, hiking, etc. abound.
Owner lives out of the area and doesn’t have time to fully devote to the business and has decided to sell.  Owner will consider some seller financing for a qualified buyer with a reasonable down payment. Seller and franchisor will help train new owner on this easy to own and operate business. Contact us today for more information on this franchise supplemental tutoring business, come see it in action, see the opportunity for you, make offer!
",Lafayette,5000,2,2,0,130000,0,0,2009,6/20/2016 21:33,6/20/2016 21:33,"Don Pippin, Jr.",2500,sq ft,2,,,
Louisiana Register LLC,"When you pick up this beautifully crafted magazine, there&acirc;&euro;&trade;s no doubt that a lot of time and careful planning has gone into every single page. For the last two years, 6 issues have been distributed in over 50 strategic locations in the Lafayette area, and with each issue comes the added name recognition and prestige that the publication now garners. Presently 4500 copies are being printed quarterly. There&acirc;&euro;&trade;s a well-designed website at LouisianaRegisterMagazine.com, and an impressive following on Facebook.  Seller recently moved with her new husband out of state and feels she can no longer give the magazine the attention that it deserves long distance. Seller is willing to share every contact and connection that she has developed with local wedding-related businesses. She also has many ideas to pass on to ensure that Louisiana Register continues to grow and even expand into other areas of the state. Seller has definitely laid all the ground work and built important relationships that can make things much easier for the new owner. So if you love weddings and sales and publishing and people, this could be the opportunity you&acirc;&euro;&trade;ve been looking for.",,Louisiana Register,"Bridal Publication Business For Sale in Lafayette, Louisiana",2436 Beach Blvd Apt B7,Biloxi,39531,0,14900,,Relocation,Yes,1,Yes,Yes,0,0,,,LAFAYETLA1-N15,,"Don Pippin, Jr.",Periodical Publishers,1/18/2013 0:00,7/1/2013 0:00,,,,,,Active,2,1,LA,337-258-2921,,2011,1,1,0,0,"	When you pick up this beautifully crafted magazine, there’s no doubt that a lot of time and careful planning has gone into every single page. For the last two years, 6 issues have been distributed in over 50 strategic locations in the Lafayette area, and with each issue comes the added name recognition and prestige that the publication now garners. Presently 4500 copies are being printed quarterly. There’s a well-designed website at LouisianaRegisterMagazine.com, and an impressive following on Facebook. 
Seller recently moved with her new husband out of state and feels she can no longer give the magazine the attention that it deserves long distance. Seller is willing to share every contact and connection that she has developed with local wedding-related businesses. She also has many ideas to pass on to ensure that Louisiana Register continues to grow and even expand into other areas of the state. Seller has definitely laid all the ground work and built important relationships that can make things much easier for the new owner.
So if you love weddings and sales and publishing and people, this could be the opportunity you’ve been looking for. 
",Lafayette,0,1,2,1000,0,0,0,2011,6/20/2016 21:34,6/20/2016 21:34,"Don Pippin, Jr.",0,sq ft,1,,,
Hubertville Express,"Sunbelt Business Brokers of Lafayette presents this 7-year-old convenience store business for sale. Business is located in south Louisiana on a main highway with excellent street visibility in the heart of town. Business has strong sales revenue of approximately $3.6M last year. Business and real estate are included in the sale. Business occupies a 3,600sqft building. Convenience store has branded gasoline with several pumps and a small deli inside that can seat approximately 20 people.  Store has several long term and friendly employees.  	Owner has decided to pursue retirement and is highly motivated to sell. Seller will help train new owner on this easy to own and operate business. Owner may consider some seller financing for a qualified buyer with a proper down payment. Contact us today for more information on this excellent convenience store opportunity. Come see the establishment, be impressed with the facility and staff, make offer!",,Hubertville Express,Convenience Store For Sale in South Louisiana,2511 Main St,Jeanerette,,0,2385000,,Retirement,Yes,1,Yes,Yes,3664186,0,,,LAFAYETLA1-N16,,"Don Pippin, Jr.",Gasoline Stations with Convenience Stores,5/4/2016 0:00,5/4/2017 0:00,"Liquor, Tobacco",7 Days,,6,3,Active,2,1,LA,,3600,2009,2,2,0,0,See Don Pippin for more information.,South,100000,2,2,80000,3664186,367000,0,2009,6/20/2016 21:35,6/20/2016 21:35,"Don Pippin, Jr.",10000,sq ft,1,,,
Next Day Access,"Sunbelt Business Brokers of Beaumont presents this handicap services and products business for sale in Houston, TX. Business has been in operation for over 2 years serving the region of metro Houston market. Business is a franchise with great support and staff. Business does construction, product placement and staff assistance for people who are handicapped and need to renovate their homes, offices, etc. Business offers, fast, easy fix solutions that are durable and long lasting. Such products include ramps, stair and porch lifts, etc. Owner has decided to pursue other interests and is motivated to sell. Seller and franchisor will help train new owner on this easy to own and operate business. Owner may consider some seller financing for a qualified buyer with a reasonable down payment. Contact us today for more information on this handicap services and accessibility business today!",,Next Day Access,"Handicap Services and Products Business For Sale in Houston, TX",7025 W. Tidwell Blvd Ste. 103,Houston,,0,399000,,Other business,Yes,1,Yes,2,694998,2795,,,LAFAYETLA1-N17,,"Don Pippin, Jr.",Accommodation and Food Services,4/21/2016 0:00,10/21/2016 0:00,,,,2,,Active,2,1,TX,337-654-5495,2700,2013,1,1,0,0,See Don Pippin Jr. ,Houston,40000,2,1,0,694998,114566,0,2013,6/20/2016 21:36,6/20/2016 21:36,"Don Pippin, Jr.",0,sq ft,2,,,
Mac Performance Exhaust,"This fabrication shop of boat products business is for sale in the metro area of Lafayette, Louisiana. Business has all new equipment and is growing very fast. Due to its fast growth the business can no longer be homebased part time and needs to expand. Seller can no longer accommodate the growth of business and is ready to sell to someone who can handle the growth.  The metro Lafayette, Louisiana region is a great place to live, work, and raise a family. The economy is booming as Lafayette is the epicenter of the booming oil and gas industry in south Louisiana. The area has plenty of affordable housing. Lafayette is a home to the University of Louisiana Lafayette, a major university with a top notch athletic program. Lafayette is in the heart of Cajun country an area were the residents are exceptionally friendly and love to have a good time. Outdoor recreational activities like hunting, fishing, boating, golfing, hiking, etc. abound. 	Seller will help train new owner on this easy to own and operate business. Seller will possibly consider some seller financing for qualified buyer. Come check this business out now, meet the owner, get in early on the action before it&acirc;&euro;&trade;s gone!",,Mac Performance Exhaust,Fabrication Shop of Boat Products Business For Sale near Lafayette,1133 Howard Broussard Rd,St. Martinville,,0,110000,,Business is growing too fast for present owner.,Yes,1,Yes,Yes,140000,0,,,LAFAYETLA1-N18,,"Don Pippin, Jr.",Ship and Boat Building,10/2/2014 0:00,10/2/2015 0:00,,,,,,Active,2,1,LA,337-789-0732,,2014,1,1,0,0,"This fabrication shop of boat products business is for sale in the metro area of Lafayette, Louisiana. Business has all new equipment and is growing very fast. Due to its fast growth the business can no longer be homebased part time and needs to expand. Seller can no longer accommodate the growth of business and is ready to sell to someone who can handle the growth. 
The metro Lafayette, Louisiana region is a great place to live, work, and raise a family. The economy is booming as Lafayette is the epicenter of the booming oil and gas industry in south Louisiana. The area has plenty of affordable housing. Lafayette is a home to the University of Louisiana Lafayette, a major university with a top notch athletic program. Lafayette is in the heart of Cajun country an area were the residents are exceptionally friendly and love to have a good time. Outdoor recreational activities like hunting, fishing, boating, golfing, hiking, etc. abound.
	Seller will help train new owner on this easy to own and operate business. Seller will possibly consider some seller financing for qualified buyer. Come check this business out now, meet the owner, get in early on the action before it’s gone!
",Lafayette Metro,2500,2,2,2500,140000,48000,0,2014,6/20/2016 21:39,6/20/2016 21:39,"Don Pippin, Jr.",0,sq ft,1,,,
Vapourganics LLC,"Open for over three years, this package deal includes multiple locations of specialty retail trade shops in south & southwest Louisiana. These shops specialize in smokeless tobacco and related products. Highly rated and with a large customer base, these shops generate approximately $1.4M a year in a revenue. Known for having the best selection and most knowledgeable staff, these businesses have grown to take control of their local markets. This is a unique opportunity for someone to get in now in this niche market, be the big player, and enjoy the returns.  	Owner has decided to sell to explore other business interests. Seller is open to owner financing with a proper down payment from a qualified buyer. Owner will help train new owner on how to operate the business. Contact us today for more information on these multiple specialty retail shop businesses for sale. Come meet the owner, see the various array of products sold and the potential fit for you, make offer!",,Vapourganics,Multiple Specialty Retail Shop Businesses For Sale,233 Doucet Rd Ste. A7,Lafayette,,0,995000,,Other Business Interests,Yes,1,Yes,Yes,1400000,1421,,,LAFAYETLA1-N19,,"Don Pippin, Jr.",Retail Trade,8/24/2015 0:00,8/24/2016 0:00,,7 Days,,5,15,Active,2,1,LA,337.591.2020,1400,2012,1,1,0,0,"Open for over three years, this package deal includes multiple locations of specialty retail trade shops in south & southwest Louisiana. These shops specialize in smokeless tobacco and related products. Highly rated and with a large customer base, these shops generate approximately $1.5M a year in a revenue. Known for having the best selection and most knowledgeable staff, these businesses have grown to take control of their local markets. This is a unique opportunity for someone to get in now in this niche market, be the big player, and enjoy the returns. 
	Owner has decided to sell to explore other business interests. Seller is open to owner financing with a proper down payment from a qualified buyer. Owner will help train new owner on how to operate the business. Contact us today for more information on these multiple specialty retail shop businesses for sale. Come meet the owner, see the various array of products sold and the potential fit for you, make offer!
",South,50000,2,2,75000,1400000,704000,0,2012,6/20/2016 21:39,6/20/2016 21:39,"Don Pippin, Jr.",14000,sq ft,2,,,
La Petite E'Cole Daycare,"Daycare business for sale in metro Lafayette is a Class 2 daycare that has been in operation for over 20 years. Daycare is licensed for 102 kids but is not at full occupancy and can be grown. Business offers after school care and summer care. Along with the business, the real estate is also available for sale. However, the business can be purchased separately if desired. Building is approximately 5,600sqft and located on a main artery through town with quick and easy access.  The town is a great suburb city just a very short distance and drive to Lafayette, La. Lafayette is a large metropolitan city with all the amenities. The town has a lot of old southern charm. There is plenty of affordable housing, many with large or acreage lots. The residents are warm, welcoming and most friendly. The town is a great place to live, work and raise a family. This is a great opportunity for a mom with young children or the semi-retired.  	 Owner is highly motivated to sell to be able to start enjoying retirement. Seller will help train new owner on this easy to own and operate business. Owner will consider some seller financing for a qualified buyer with a reasonable down payment. Contact us today for more information on this day care business for sale. Come meet the owner, see the great facility, make offer!",,La Petite E'Cole Daycare,"Daycare Business For Sale in Metro Lafayette, La",1822 Rees St.,Breaux Bridge,,0,140000,,Retirement ,Yes,1,Yes,Yes,230000,0,,,LAFAYETLA1-N20,,"Don Pippin, Jr.",Child Day Care Services,7/21/2015 0:00,7/21/2016 0:00,,5 Days,,8,,Expired,2,1,LA,337-332-4539,5600,1995,1,2,0,1199000,"Daycare business for sale in metro Lafayette is a Class 2 daycare that has been in operation for over 20 years. Daycare is licensed for 102 kids but is not at full occupancy and can be grown. Business offers after school care and summer care. Along with the business, the real estate is also available for sale. However, the business can be purchased separately if desired. Building is approximately 5,600sqft and located on a main artery through town with quick and easy access. 
The town is a great suburb city just a very short distance and drive to Lafayette, La. Lafayette is a large metropolitan city with all the amenities. The town has a lot of old southern charm. There is plenty of affordable housing, many with large or acreage lots. The residents are warm, welcoming and most friendly. The town is a great place to live, work and raise a family. This is a great opportunity for a mom with young children or the semi-retired. 
	 Owner is highly motivated to sell to be able to start enjoying retirement. Seller will help train new owner on this easy to own and operate business. Owner will consider some seller financing for a qualified buyer with a reasonable down payment. Contact us today for more information on this day care business for sale. Come meet the owner, see the great facility, make offer! 
",Lafayette Metro,0,2,2,2000,230000,40000,0,1995,6/24/2016 18:45,6/20/2016 21:41,"Don Pippin, Jr.",0,sq ft,1,,,
BLVL Springs Water,"This franchise vending machine company for sale in south Louisiana has been in operation for over 2 years. Business specializes in frozen treats and snacks. This route covers 5 machines and included in the sale is the rights to the region for continued development. Located in front of high traffic retail areas, these locations help catch plenty of attention and customers. Business is primed to grow even more in the region. For someone who already has a vending route this is great way to diversify their products served and increase profits.  	Owner has decided to sell to pursue other business interests. Seller and franchisor will help train new owner on this easy to own and operate business. Owner will consider some seller financing for a qualified buyer with a reasonable down payment. This is a great opportunity to get in early on this franchise vending company take it to the next level and reap the rewards. Contact us today for more information!",,Mini Melts,"Franchise Vending Machine Business For Sale near Lafayette, LA",2511 Mill Rd,New Iberia,,0,49000,,Other business interests,Yes,1,Yes,2,18000,0,,,LAFAYETLA1-N21,,"Don Pippin, Jr.",Vending Machine Operators,7/13/2015 0:00,7/13/2016 0:00,Yes,,,,,Active,2,1,LA,3373805874,,2013,1,1,0,0," This franchise vending machine company for sale in south Louisiana has been in operation for over 2 years. Business specializes in frozen treats and snacks. This route covers 5 machines and included in the sale is the rights to the region for continued development. Located in front of high traffic retail areas, these locations help catch plenty of attention and customers. Business is primed to grow even more in the region. For someone who already has a vending route this is great way to diversify their products served and increase profits. 
	Owner has decided to sell to pursue other business interests. Seller and franchisor will help train new owner on this easy to own and operate business. Owner will consider some seller financing for a qualified buyer with a reasonable down payment. This is a great opportunity to get in early on this franchise vending company take it to the next level and reap the rewards. Contact us today for more information!

",South,60000,2,2,4000,18000,7500,0,2013,6/20/2016 21:42,6/20/2016 21:42,"Don Pippin, Jr.",0,sq ft,1,,,
"Allstar Pipe Services, Inc.","This well-known 43 year old oilfield services company has established itself in the industry with high quality service and top-of-the-line product rentals.  Company performs hydrostatic testing, pipe bolstering, drill pipe cleaning and pipe rental, as well as substantial sales and inventory in thread protectors.  Company has top-notch equipment valued at approximately $400,000.                 Business is located in South Louisiana and does some work in the Haynesville Shale trend of Northwest Louisiana.  Business has a good reputation and a large and loyal customer base.                 Seller wants to retire. Business would make a great addition for a company already operating in this industry or can stand alone for an entrepreneur. Seller had an excellent manager who was highly trained in every part of this business, and ran it while seller traveled on extensive hunting trips all over North America and Canada. When business slowed down, seller had to step back in and take care of business personally. That manager is willing to come back if new owner desires. Owner will consider some seller financing for a qualified buyer with a reasonable down payment. Seller is open to substantive offers and will seriously consider and promptly respond to all reasonable offers.",,Allstar Pipe Services,Oilfield Service Business For Sale in Lafayette Area,141 Asset Drive,Scott,,0,400000,,Retirement,Yes,1,Yes,Yes,136000,0,,,LAFAYETLA1-N22,,"Don Pippin, Jr.",Oil and Gas Pipeline and Related Structures Construction,5/13/2015 0:00,12/31/2015 0:00,Yes,,,0,0,Active,2,1,LA,3372348071,,1972,1,1,0,0,"This well-known 43 year old oilfield services company has established itself in the industry with high quality service and top-of-the-line product rentals.  Company performs hydrostatic testing, pipe bolstering, drill pipe cleaning and pipe rental, as well as substantial sales and inventory in thread protectors.  Company has top-notch equipment valued at approximately $400,000.    
            Business is located in South Louisiana and does some work in the Haynesville Shale trend of Northwest Louisiana.  Business has a good reputation and a large and loyal customer base.    
            Seller wants to retire. Business would make a great addition for a company already operating in this industry or can stand alone for an entrepreneur. Seller had an excellent manager who was highly trained in every part of this business, and ran it while seller traveled on extensive hunting trips all over North America and Canada. When business slowed down, seller had to step back in and take care of business personally. That manager is willing to come back if new owner desires. Owner will consider some seller financing for a qualified buyer with a reasonable down payment. Seller is open to substantive offers and will seriously consider and promptly respond to all reasonable offers. 
",Confidential,400000,2,1,0,136000,75000,0,1972,6/20/2016 21:42,6/20/2016 21:42,"Don Pippin, Jr.",0,sq ft,1,,,
